Haus,house,Das ist mein Haus.,That is my house.,घर,वह मेरा घर है।
Land,country,Deutschland ist ein Land.,Germany is a country.,देश,जर्मनी एक देश है.
Straße,street,Die Straße ist lang.,The street is long.,गली,सड़क लंबी है.
Platz,place/square,Der Platz ist leer.,The square is empty.,स्थान/वर्ग,चौक खाली है.
Park,park,Der Park ist schön.,The park is beautiful.,पार्क,पार्क सुंदर है.
Schule,school,Die Schule ist groß.,The school is big.,विद्यालय,स्कूल बड़ा है.
Universität,university,Die Universität ist alt.,The university is old.,विश्वविद्यालय,यूनिवर्सिटी पुरानी है.
Krankenhaus,hospital,Das Krankenhaus ist neu.,The hospital is new.,अस्पताल,अस्पताल नया है.
Geschäft,shop/store,Das Geschäft ist offen.,The shop is open.,दुकान दुकान,दुकान खुली है.
Supermarkt,supermarket,Der Supermarkt ist nah.,The supermarket is near.,सुपरमार्केट,सुपरमार्केट नजदीक है.
Käse,cheese,Der Käse schmeckt gut.,The cheese tastes good.,पनीर,पनीर का स्वाद अच्छा है.
Obst,fruit,Obst ist gesund.,Fruit is healthy.,फल,फल स्वास्थ्यवर्धक है.
Gemüse,vegetables,Gemüse ist frisch.,Vegetables are fresh.,सब्ज़ियाँ,सब्जियाँ ताजी हैं.
Kaffee,coffee,Ich trinke Kaffee.,I drink coffee.,कॉफी,मुझे कॉफी पीना है।
Tee,tea,Tee ist heiß.,Tea is hot.,चाय,चाय गर्म है.
Bier,beer,Bier ist kalt.,Beer is cold.,बियर,बीयर ठंडी है.
Wein,wine,Der Wein ist rot.,The wine is red.,शराब,शराब लाल है.
Licht,light,Das Licht ist hell.,The light is bright.,रोशनी,प्रकाश उज्ज्वल है.
Sonne,sun,Die Sonne scheint.,The sun is shining.,सूरज,सूरज चमक रहा है।
Mond,moon,Der Mond ist rund.,The moon is round.,चंद्रमा,चाँद गोल है.
Stern,star,Der Stern leuchtet.,The star shines.,तारा,तारा चमकता है.
Himmel,sky,Der Himmel ist blau.,The sky is blue.,आकाश,आसमान नीला है.
Wind,wind,Der Wind ist stark.,The wind is strong.,हवा,हवा तेज़ है.
Regen,rain,Der Regen ist stark.,The rain is heavy.,बारिश,बारिश भारी है.
Schnee,snow,Der Schnee ist weiß.,The snow is white.,बर्फ,बर्फ सफेद है.
Wald,forest,Der Wald ist groß.,The forest is big.,जंगल,जंगल बड़ा है.
Fluss,river,Der Fluss ist lang.,The river is long.,नदी,नदी लम्बी है.
See,lake,Der See ist tief.,The lake is deep.,झील,झील गहरी है.
Meer,sea,Das Meer ist weit.,The sea is wide.,समुद्र,समुद्र विस्तृत है.
Strand,beach,Der Strand ist leer.,The beach is empty.,समुद्र तट,समुद्र तट खाली है.
Zimmer,room,Das Zimmer ist klein.,The room is small.,कमरा,कमरा छोटा है.
Schlafzimmer,bedroom,Das Schlafzimmer ist ruhig.,The bedroom is quiet.,सोने का कमरा,शयनकक्ष शांत है.
Küche,kitchen,Die Küche ist sauber.,The kitchen is clean.,रसोईघर,रसोई साफ़ है.
Bad,bathroom,Das Bad ist groß.,The bathroom is big.,स्नानघर,बाथरूम बड़ा है.
Toilette,toilet,Die Toilette ist frei.,The toilet is free.,शौचालय,शौचालय निःशुल्क है.
Bett,bed,Das Bett ist weich.,The bed is soft.,बिस्तर,बिस्तर नरम है.
Computer,computer,Der Computer ist alt.,The computer is old.,कंप्यूटर,कंप्यूटर पुराना है.
Handy,mobile phone,Mein Handy ist neu.,My mobile phone is new.,चल दूरभाष,मेरा मोबाइल फ़ोन नया है.
Uhr,clock/watch,Die Uhr ist teuer.,The watch is expensive.,घड़ी/घड़ी,घड़ी महँगी है.
Brille,glasses,Meine Brille ist kaputt.,My glasses are broken.,चश्मा,मेरा चश्मा टूट गया है.
Kleidung,clothes,Die Kleidung ist schön.,The clothes are nice.,कपड़े,कपड़े अच्छे हैं.
Kopf,head,Mein Kopf tut weh.,My head hurts.,सिर,मेरे सिर में दर्द होता है।
Hand,hand,Meine Hand ist kalt.,My hand is cold.,हाथ,मेरा हाथ ठंडा है.
Fuß,foot,Mein Fuß tut weh.,My foot hurts.,पैर,मेरे पैर दर्द में होता है।
Auge,eye,Mein Auge ist blau.,My eye is blue.,आँख,मेरी आंख नीली है.
Ohr,ear,Mein Ohr hört Musik.,My ear hears music.,कान,मेरा कान संगीत सुनता है.
Nase,nose,Meine Nase ist klein.,My nose is small.,नाक,मेरी नाक छोटी है.
Mund,mouth,Der Mund ist offen.,The mouth is open.,मुँह,मुँह खुला है.
Haar,hair,Dein Haar ist lang.,Your hair is long.,बाल,आपके बाल लम्बे हैं.
Gesicht,face,Dein Gesicht ist schön.,Your face is beautiful.,चेहरा,आपका चेहरा सुन्दर है.
Körper,body,Der Körper ist gesund.,The body is healthy.,शरीर,शरीर स्वस्थ रहता है.
Arzt,doctor,Der Arzt ist nett.,The doctor is nice.,चिकित्सक,डॉक्टर अच्छा है.
Lehrer,teacher,Der Lehrer erklärt gut.,The teacher explains well.,अध्यापक,टीचर अच्छे से समझाते हैं.
Student,student,Der Student lernt viel.,The student studies a lot.,विद्यार्थी,विद्यार्थी खूब पढ़ता है।
Problem,problem,Das Problem ist klein.,The problem is small.,संकट,समस्या छोटी है.
Lösung,solution,Die Lösung ist einfach.,The solution is simple.,समाधान,समाधान सरल है.
Idee,idea,Das ist eine gute Idee.,That is a good idea.,विचार,यह एक अच्छा विचार है।
Frage,question,Ich habe eine Frage.,I have a question.,सवाल,मेरा एक सवाल है।
Antwort,answer,Die Antwort ist richtig.,The answer is correct.,उत्तर,उत्तर सही है.
Gefühl,feeling,Das Gefühl ist stark.,The feeling is strong.,अनुभूति,भावना प्रबल है.
Gedanke,thought,Dein Gedanke ist klug.,Your thought is smart.,सोचा,आपकी सोच स्मार्ट है.
Traum,dream,Der Traum war schön.,The dream was beautiful.,सपना,सपना खूबसूरत था.
Leben,life,Das Leben ist kurz.,Life is short.,ज़िंदगी,जिंदगी छोटी है।
Tod,death,Der Tod ist still.,Death is silent.,मौत,मौत खामोश है.
Urlaub,vacation,Der Urlaub ist bald.,The vacation is soon.,छुट्टी,छुट्टियाँ जल्द ही हैं.
Reise,trip/journey,Die Reise ist lang.,The trip is long.,यात्रा/यात्रा,यात्रा लंबी है.
Sport,sport,Sport ist gesund.,Sport is healthy.,खेल,खेल स्वस्थ है.
Spiel,game,Das Spiel macht Spaß.,The game is fun.,खेल,खेल मजेदार है.
Musik,music,Musik ist schön.,Music is beautiful.,संगीत,संगीत सुंदर है.
Film,movie,Der Film ist spannend.,The movie is exciting.,चलचित्र,फिल्म रोमांचक है.
Zeitung,newspaper,Die Zeitung ist neu.,The newspaper is new.,अखबार,अखबार नया है.
Nachricht,message/news,Ich habe eine Nachricht.,I have a message.,संदेश/समाचार,मेरे पास एक संदेश है.
Brief,letter,Der Brief ist lang.,The letter is long.,पत्र,पत्र लम्बा है.
Wort,word,Das Wort ist schwer.,The word is difficult.,शब्द,शब्द कठिन है.
Satz,sentence,Der Satz ist kurz.,The sentence is short.,वाक्य,वाक्य छोटा है.
Sprache,language,Die Sprache ist schwer.,The language is difficult.,भाषा,भाषा कठिन है.
Beispiel,example,Das ist ein Beispiel.,That is an example.,उदाहरण,वह एक उदाहरण है.
Minute,minute,Eine Minute ist kurz.,A minute is short.,मिनट,एक मिनट कम है.
Stunde,hour,Eine Stunde ist lang.,An hour is long.,घंटा,एक घंटा लंबा है.
Woche,week,Die Woche ist vorbei.,The week is over.,सप्ताह,सप्ताह ख़त्म हो गया.
Monat,month,Der Monat ist kalt.,The month is cold.,महीना,महीना ठंडा है.
Jahr,year,Das Jahr ist neu.,The year is new.,वर्ष,साल नया है.
Party,party,Die Party ist heute.,The party is today.,दल,पार्टी आज है.
Geschenk,gift,Das Geschenk ist teuer.,The gift is expensive.,उपहार,उपहार महंगा है.
Preis,price/prize,Der Preis ist hoch.,The price is high.,पुरस्कार का,कीमत अधिक है.
Größe,size,Die Größe ist klein.,The size is small.,आकार,आकार छोटा है.
Farbe,color,Die Farbe ist rot.,The color is red.,रंग,रंग लाल है.
jeden Tag,every day,Ich lerne jeden Tag.,I study every day.,रोज रोज,मैं हर दिन अध्ययन करता हूँ।
unfreundlich,unfriendly,Der Mann ist unfreundlich.,The man is unfriendly.,अमित्र,आदमी अमित्र है.
heute,today,Heute ist schön.,Today is nice.,आज,आज का दिन अच्छा है.
toll,great,Das Essen ist toll.,The food is great.,महान,खाना बढ़िया है.
prima,excellent,Der Film war prima.,The movie was excellent.,उत्कृष्ट,फिल्म बेहतरीन थी.
fantastisch,fantastic,Das ist fantastisch!,That is fantastic!,ज़बरदस्त,वह शानदार है!
es geht,so-so / it’s okay,Mir geht es. Es geht.,I’m okay / so-so.,ऐसा-ऐसा / यह ठीक है,मैं ठीक हूं/ऐसा-वैसा।
miserabel,miserable,Das Wetter ist miserabel.,The weather is miserable.,दुखी,मौसम ख़राब है.
furchtbar,terrible,Das Essen ist furchtbar.,The food is terrible.,भयानक,खाना भयानक है.
müde,tired,Ich bin müde.,I am tired.,थका हुआ,मैं थक गया हूँ।
krank,sick,Er ist krank.,He is sick.,बीमार,वह बीमार है.
wunderbar,wonderful,Die Stadt ist wunderbar.,The city is wonderful.,आश्चर्यजनक,शहर अद्भुत है.
U-Bahn,subway,Die U-Bahn kommt.,The subway is coming.,भूमिगत मार्ग,मेट्रो आ रही है.
Telefon,telephone,Das Telefon klingelt.,The phone is ringing.,टेलीफ़ोन,फ़ोन बज रहा है.
Tür,door,Die Tür ist offen.,The door is open.,दरवाजा,दरवाज़ा खुला है.
Fenster,window,Das Fenster ist zu.,The window is closed.,खिड़की,खिड़की बंद है.
Tasche,bag,Die Tasche ist schwer.,The bag is heavy.,थैला,बैग भारी है.
Stift,pen,Der Stift ist blau.,The pen is blue.,कलम,कलम नीला है.
große Flasche,big bottle,Ich habe eine große Flasche Wasser.,I have a big bottle of water.,बड़ी बोतल,मेरे पास पानी की एक बड़ी बोतल है.
Boden,floor/ground,Der Boden ist nass.,The floor is wet.,फर्श/जमीन,फर्श गीला है।
Apfel,apple,Der Apfel ist rot.,The apple is red.,सेब,सेब लाल है।
Sandwich,sandwich,Ich esse ein Sandwich.,I eat a sandwich.,सैंडविच,मैं सैंडविच खाता हूं।
Restaurant,restaurant,Das Restaurant ist voll.,The restaurant is full.,रेस्टोरेंट,रेस्तरां भरा हुआ है.
Paket,package,Das Paket ist hier.,The package is here.,पैकेट,पैकेज यहाँ है.
Bargeld,cash,Ich habe kein Bargeld.,I have no cash.,नकद,मेरे पास नकदी नहीं है.
ungesund,unhealthy,Das Essen ist ungesund.,The food is unhealthy.,बीमार,भोजन अस्वास्थ्यकर है.
dabei,with it / included,Ich bin dabei.,I am in / I join.,इसके साथ / सम्मिलित,मैं शामिल हूं / मैं शामिल हूं.
Sprudelwasser,sparkling water,Ich trinke Sprudelwasser.,I drink sparkling water.,सोडा,मैं स्पार्कलिंग पानी पीता हूं.
gern,gladly / like to,Ich lese gern.,I like to read.,ख़ुशी से/पसंद है,मुझे पढ़ना पसंद है.
danke schön,thank you very much,Danke schön für alles.,Thank you very much for everything.,आपका बहुत-बहुत धन्यवाद,सब कुछ के लिए बहुत बहुत धन्यवाद।
Speisekarte,menu,"Die Speisekarte, bitte.","The menu, please.",मेनू,मेन्यू दीजिए कृपया।
immer,always,Ich bin immer pünktlich.,I am always on time.,हमेशा,मैं हमेशा समय पर हूँ.
zurück,back,Ich komme zurück.,I come back.,पीछे,मैं लौट आया।
Kellner,waiter,Der Kellner ist freundlich.,The waiter is friendly.,परिचारक,वेटर मिलनसार है.
Geburtstag,birthday,Heute ist mein Geburtstag.,Today is my birthday.,जन्मदिन,आज मेरा जन्मदिन हे।
gemeinsam,together,Wir essen gemeinsam.,We eat together.,एक साथ,हम एक साथ खाना खाते हैं.
kühlen,to cool,Das Wasser kühlt schnell.,The water cools quickly.,ठंडा करना,पानी जल्दी ठंडा हो जाता है.
besser,better,Mir geht es besser.,I feel better.,बेहतर,मैं बेहतर महसूस कर रहा हूँ।
Mode,fashion,Mode ist wichtig.,Fashion is important.,पहनावा,फैशन महत्वपूर्ण है.
Brillen,glasses,Ich trage Brillen.,I wear glasses.,चश्मा,मैं चश्मा पहनने।
sage,(I) say,Ich sage die Wahrheit.,I say the truth.,(मैं कहता हूँ,मैं सच कहता हूं.
Antwort,answer,Deine Antwort ist richtig.,Your answer is correct.,उत्तर,आपका उत्तर सही है.
sehe,(I) see,Ich sehe dich.,I see you.,(अच्छा ऐसा है,मैं तुम्हें देखता हूं.
hier,here,Ich bin hier.,I am here.,यहाँ,मैं यहां हूं।
Schlüssel,key,Der Schlüssel ist neu.,The key is new.,चाबी,कुंजी नई है.
offen,open,Das Fenster ist offen.,The window is open.,खुला,खिड़की खुली है.
Kuchen,cake,Der Kuchen ist süß.,The cake is sweet.,केक,केक मीठा है.
Bild,picture,Das Bild ist schön.,The picture is beautiful.,चित्र,चित्र सुन्दर है.
Hilfe,help,"Hilfe, bitte!","Help, please!",मदद,कृपया मदद करें!
Geschichte,story / history,Die Geschichte ist lang.,The story is long.,कहानी/इतिहास,कहानी लंबी है.
jetzt,now,Ich mache es jetzt.,I do it now.,अब,मैं अब यह करता हूँ।
Thema,topic,Das Thema ist interessant.,The topic is interesting.,विषय,विषय रोचक है.
Rechnung,bill,"Die Rechnung, bitte.","The bill, please.",बिल,कृपया बिल दें।
Oma,grandma,Meine Oma ist nett.,My grandma is nice.,दादी,मेरी दादी अच्छी हैं.
Blumen,flowers,Die Blumen sind schön.,The flowers are beautiful.,फूल,फूल सुंदर हैं।
laut,loud,Das Radio ist laut.,The radio is loud.,ऊँचा स्वर,रेडियो तेज़ है.
leise,quiet,Die Musik ist leise.,The music is quiet.,शांत,संगीत शांत है.
spinnen,to spin / spiders,Spinnen machen Netze.,Spiders make webs.,घूमना/मकड़ियों,मकड़ियाँ जाला बनाती हैं।
Glück,luck / happiness,Viel Glück!,Good luck!,भाग्य/ख़ुशी,आपको कामयाबी मिले!
Flasche,bottle,Die Flasche ist voll.,The bottle is full.,बोतल,बोतल भरी हुई है.
Wand,wall,Die Wand ist weiß.,The wall is white.,दीवार,दीवार सफेद है.
Jacke,jacket,Die Jacke ist neu.,The jacket is new.,जैकेट,जैकेट नई है.
tief,deep,Der See ist tief.,The lake is deep.,गहरा,झील गहरी है.
Zähne,teeth,Meine Zähne sind weiß.,My teeth are white.,दाँत,मेरे दांत सफेद हैं.
Suppe,soup,Die Suppe ist heiß.,The soup is hot.,शोरबा,सूप गर्म है.
Fleisch,meat,Fleisch ist teuer.,Meat is expensive.,मांस,मांस महँगा है.
schnell,fast,Der Hund läuft schnell.,The dog runs fast.,तेज़,कुत्ता तेज़ दौड़ता है.
früh,early,Ich stehe früh auf.,I get up early.,जल्दी,मैं जल्दी उठता हूं।
heute Abend,this evening,Heute Abend gehe ich ins Kino.,This evening I go to the cinema.,यह शाम,आज शाम को मैं सिनेमा देखने जाता हूँ।
gerne,gladly / like to,Ich esse gerne Pizza.,I like to eat pizza.,ख़ुशी से/पसंद है,मुझे पिज़्ज़ा खाना पसंद है।
Lied,song,Das Lied ist schön.,The song is beautiful.,गाना,गाना खूबसूरत है.
Baum,tree,Der Baum ist alt.,The tree is old.,पेड़,पेड़ पुराना है.
Sonnenuntergang,sunset,Der Sonnenuntergang ist rot.,The sunset is red.,सूर्यास्त,सूर्यास्त लाल है.
vor,in front of / before,Das Auto steht vor dem Haus.,The car is in front of the house.,के सामने/पहले,कार घर के सामने है.
Mädchen,girl,Das Mädchen lacht.,The girl laughs.,लड़की,लड़की हंसती है.
Junge,boy,Der Junge spielt.,The boy plays.,लड़का,लड़का खेलता है.
hungrig,hungry,Ich bin hungrig.,I am hungry.,भूखा,मुझे भूख लगी है.
Ankunft,arrival,Die Ankunft ist pünktlich.,The arrival is on time.,आगमन,आगमन समय पर है.
einfach,simple / easy,Das ist einfach.,That is easy.,सरल/आसान,ओ आसान है।
Tanz,dance,Der Tanz ist schön.,The dance is beautiful.,नृत्य,नृत्य सुन्दर है.
Großhandel,wholesale,Der Großhandel ist günstig.,The wholesale is cheap.,थोक,थोक सस्ता है.
Berg,mountain,Der Berg ist hoch.,The mountain is high.,पर्वत,पहाड़ ऊँचा है.
Hund,dog,Der Hund bellt.,The dog barks.,कुत्ता,कुत्ता भौंकता है.
Katze,cat,Die Katze schläft.,The cat is sleeping.,बिल्ली,बिल्ली सो रही है।
Markt,market,Der Markt ist voll.,The market is crowded.,बाज़ार,बाज़ार में भीड़ है.
Bahnhof,train station,Der Bahnhof ist groß.,The train station is big.,रेलवे स्टेशन,रेलवे स्टेशन बड़ा है.
Flughafen,airport,Der Flughafen ist weit.,The airport is far.,एयरपोर्ट,हवाई अड्डा दूर है.
Zug,train,Der Zug ist schnell.,The train is fast.,रेलगाड़ी,ट्रेन तेज़ है.
Bus,bus,Der Bus kommt spät.,The bus comes late.,बस,बस देर से आती है.
Kino,cinema,Das Kino ist leer.,The cinema is empty.,सिनेमा,सिनेमा खाली है.
Kleid,dress,Das Kleid ist schön.,The dress is beautiful.,पोशाक,पोशाक सुंदर है.
Schuhe,shoes,Die Schuhe sind neu.,The shoes are new.,जूते,जूते नये हैं.
Lampe,lamp,Die Lampe ist hell.,The lamp is bright.,चिराग,दीपक उज्ज्वल है.
Baby,baby,Das Baby schläft.,The baby is sleeping.,बच्चा,बच्चा सो रहा है.
Insel,island,Die Insel ist klein.,The island is small.,द्वीप,द्वीप छोटा है.
Feuer,fire,Das Feuer ist heiß.,The fire is hot.,आग,आग गरम है.
Erde,earth/soil,Die Erde ist braun.,The soil is brown.,पृथ्वी/मिट्टी,मिट्टी भूरी है.
Luft,air,Die Luft ist frisch.,The air is fresh.,वायु,हवा ताज़ा है.
Hafen,harbor/port,Der Hafen ist groß.,The harbor is big.,बंदरगाह/बंदरगाह,बंदरगाह बड़ा है.
Schiff,ship,Das Schiff ist alt.,The ship is old.,जहाज,जहाज पुराना है.
Boot,boat,Das Boot ist klein.,The boat is small.,नाव,नाव छोटी है.
Brücke,bridge,Die Brücke ist lang.,The bridge is long.,पुल,पुल लम्बा है.
Hausaufgabe,homework,Ich mache die Hausaufgabe.,I do the homework.,गृहकार्य,मैं गृह कार्य करता हूँ।
Büro,office,Das Büro ist modern.,The office is modern.,कार्यालय,कार्यालय आधुनिक है.
Chef,boss,Mein Chef ist streng.,My boss is strict.,मालिक,मेरा बॉस सख्त है.
Kollege,colleague (m),Mein Kollege hilft mir.,My colleague helps me.,सहकर्मी (पुरुष),मेरा सहकर्मी मेरी मदद करता है.
Kundin,customer (f),Die Kundin ist freundlich.,The customer is friendly.,ग्राहक (एफ),ग्राहक मिलनसार है.
Firma,company,Die Firma ist groß.,The company is big.,कंपनी,कंपनी बड़ी है.
Projekt,project,Das Projekt ist neu.,The project is new.,परियोजना,प्रोजेक्ट नया है.
Vertrag,contract,Der Vertrag ist wichtig.,The contract is important.,अनुबंध,अनुबंध महत्वपूर्ण है.
Termin,appointment,Ich habe einen Termin.,I have an appointment.,नियुक्ति,मेरा एक नियुक्ति है।
Besprechung,meeting,Die Besprechung ist morgen.,The meeting is tomorrow.,बैठक,बैठक कल है.
Telefonat,phone call,Das Telefonat ist lang.,The phone call is long.,फोन कॉल,फ़ोन कॉल लंबी है.
E-Mail,email,Ich schreibe eine E-Mail.,I write an email.,ईमेल,मैं एक ईमेल लिखता हूं.
Post,mail / post,Die Post ist hier.,The mail is here.,मेल/पोस्ट,मेल यहाँ है.
Ticket,ticket,Das Ticket ist teuer.,The ticket is expensive.,टिकट,टिकट महंगा है.
Pass,passport,Der Pass ist gültig.,The passport is valid.,पासपोर्ट,पासपोर्ट वैध है.
Koffer,suitcase,Der Koffer ist schwer.,The suitcase is heavy.,सूटकेस,सूटकेस भारी है.
Geldbörse,wallet,Meine Geldbörse ist leer.,My wallet is empty.,बटुआ,मेरा बटुआ खाली है.
Kamera,camera,Die Kamera ist neu.,The camera is new.,कैमरा,कैमरा नया है.
Foto,photo,Das Foto ist schön.,The photo is beautiful.,तस्वीर,फोटो खूबसूरत है.
Konzert,concert,Das Konzert war laut.,The concert was loud.,संगीत समारोह,कॉन्सर्ट ज़ोरदार था.
Theater,theater,Das Theater ist voll.,The theater is full.,थिएटर,थिएटर खचाखच भरा हुआ है.
Buchhandlung,bookstore,Die Buchhandlung ist groß.,The bookstore is big.,किताबों की दुकान,किताबों की दुकान बड़ी है.
Bibliothek,library,Die Bibliothek ist ruhig.,The library is quiet.,पुस्तकालय,पुस्तकालय शांत है.
Magazin,magazine,Das Magazin ist interessant.,The magazine is interesting.,पत्रिका,पत्रिका दिलचस्प है.
Radio,radio,Das Radio ist leise.,The radio is quiet.,रेडियो,रेडियो शांत है.
Laptop,laptop,Mein Laptop ist schnell.,My laptop is fast.,लैपटॉप,मेरा लैपटॉप तेज़ है.
Internet,internet,Das Internet funktioniert.,The internet works.,इंटरनेट,इंटरनेट काम करता है.
Software,software,Die Software ist neu.,The software is new.,सॉफ़्टवेयर,सॉफ्टवेयर नया है.
Hardware,hardware,Die Hardware ist teuer.,The hardware is expensive.,हार्डवेयर,हार्डवेयर महंगा है.
Fahrrad,bicycle,Das Fahrrad ist alt.,The bicycle is old.,साइकिल,साइकिल पुरानी है.
Motorrad,motorcycle,Das Motorrad ist laut.,The motorcycle is loud.,मोटरसाइकिल,मोटरसाइकिल की आवाज तेज है.
Tankstelle,gas station,Die Tankstelle ist nah.,The gas station is near.,गैस स्टेशन,गैस स्टेशन निकट है.
Café,café,Das Café ist klein.,The café is small.,कैफे,कैफ़े छोटा है.
Hotel,hotel,Das Hotel ist teuer.,The hotel is expensive.,होटल,होटल महंगा है.
Balkon,balcony,Der Balkon ist groß.,The balcony is big.,बालकनी,बालकनी बड़ी है.
Garten,garden,Der Garten ist schön.,The garden is beautiful.,बगीचा,बगीचा सुन्दर है.
Taxi,taxi,Das Taxi ist hier.,The taxi is here.,टैक्सी,टैक्सी यहाँ है.
Weg,way / path,Der Weg ist lang.,The way is long.,रास्ता/रास्ता,रास्ता लम्बा है.
Tunnel,tunnel,Der Tunnel ist dunkel.,The tunnel is dark.,सुरंग,सुरंग में अंधेरा है.
Fahrer,driver,Der Fahrer ist müde.,The driver is tired.,ड्राइवर,ड्राइवर थक गया है.
Passagier,passenger,Der Passagier wartet.,The passenger is waiting.,यात्री,यात्री इंतज़ार कर रहा है.
Dorf,village,Das Dorf ist klein.,The village is small.,गाँव,गाँव छोटा है।
Nachbar,neighbor,Mein Nachbar ist nett.,My neighbor is nice.,पड़ोसी,मेरा पड़ोसी अच्छा है.
Vater,father,Mein Vater liest.,My father is reading.,पिता,मेरे पिता पढ़ रहे हैं.
Mutter,mother,Meine Mutter kocht.,My mother is cooking.,माँ,मेरी माँ खाना बना रही है.
Sohn,son,Mein Sohn spielt.,My son is playing.,बेटा,मेरा बेटा खेल रहा है.
Tochter,daughter,Meine Tochter singt.,My daughter is singing.,बेटी,मेरी बेटी गा रही है.
Ärztin,doctor,Die Ärztin ist freundlich.,The doctor is friendly.,चिकित्सक,डॉक्टर मिलनसार है.
Krankenschwester,nurse,Die Krankenschwester hilft.,The nurse helps.,देखभाल करना,नर्स मदद करती है.
Apotheke,pharmacy,Die Apotheke ist offen.,The pharmacy is open.,फार्मेसी,फार्मेसी खुली है.
Medikament,medicine,Das Medikament ist wichtig.,The medicine is important.,दवा,दवा महत्वपूर्ण है.
Krankheit,illness,Die Krankheit ist schlimm.,The illness is serious.,बीमारी,बीमारी गंभीर है.
Polizei,police,Die Polizei kommt.,The police are coming.,पुलिस,पुलिस आ रही है.
Feuerwehr,fire brigade,Die Feuerwehr ist schnell.,The fire brigade is fast.,अग्नि शामक दल,फायर ब्रिगेड तेज है.
Unfall,accident,Der Unfall ist schlimm.,The accident is serious.,दुर्घटना,दुर्घटना गंभीर है.
Gesetz,law,Das Gesetz ist klar.,The law is clear.,कानून,कानून स्पष्ट है.
Gericht,court,Das Gericht ist groß.,The court is big.,अदालत,अदालत बड़ी है.
Richter,judge,Der Richter spricht.,The judge speaks.,न्यायाधीश,जज बोलता है.
Anwalt,lawyer,Der Anwalt hilft.,The lawyer helps.,वकील,वकील मदद करता है.
Unterricht,lesson/class,Der Unterricht beginnt.,The class begins.,पाठ/कक्षा,क्लास शुरू होती है.
Prüfung,exam/test,Die Prüfung ist schwer.,The exam is difficult.,परीक्षा/परीक्षा,परीक्षा कठिन है.
Note,grade,Die Note ist gut.,The grade is good.,श्रेणी,ग्रेड अच्छा है.
Bildschirm,screen,Der Bildschirm ist hell.,The screen is bright.,स्क्रीन,स्क्रीन चमकदार है.
Tastatur,keyboard,Die Tastatur ist schwarz.,The keyboard is black.,कीबोर्ड,कीबोर्ड काला है.
Maus,mouse,Die Maus ist klein.,The mouse is small.,चूहा,चूहा छोटा है.
Drucker,printer,Der Drucker funktioniert.,The printer works.,मुद्रक,प्रिंटर काम करता है.
Heft,notebook,Das Heft ist neu.,The notebook is new.,नोटबुक,नोटबुक नई है.
Bleistift,pencil,Der Bleistift ist spitz.,The pencil is sharp.,पेंसिल,पेंसिल तेज़ है.
Papier,paper,Das Papier ist weiß.,The paper is white.,कागज़,कागज सफेद है.
Umschlag,envelope,Der Umschlag ist leer.,The envelope is empty.,लिफ़ाफ़ा,लिफाफा खाली है.
Karte,card / map,Die Karte ist klein.,The card is small.,कार्ड/मानचित्र,कार्ड छोटा है.
Hemd,shirt,Das Hemd ist blau.,The shirt is blue.,कमीज,शर्ट नीली है.
