Haus,house,Das ist mein Haus.,That is my house.
Ticket,ticket,Das Ticket ist teuer.,The ticket is expensive.
Pass,passport,Der Pass ist gültig.,The passport is valid.
Koffer,suitcase,Der Koffer ist schwer.,The suitcase is heavy.
Geldbörse,wallet,Meine Geldbörse ist leer.,My wallet is empty.
Kamera,camera,Die Kamera ist neu.,The camera is new.
Foto,photo,Das Foto ist schön.,The photo is beautiful.
Konzert,concert,Das Konzert war laut.,The concert was loud.
Theater,theater,Das Theater ist voll.,The theater is full.
Buchhandlung,bookstore,Die Buchhandlung ist groß.,The bookstore is big.
Bibliothek,library,Die Bibliothek ist ruhig.,The library is quiet.
Magazin,magazine,Das Magazin ist interessant.,The magazine is interesting.
Radio,radio,Das Radio ist leise.,The radio is quiet.
Laptop,laptop,Mein Laptop ist schnell.,My laptop is fast.
Internet,internet,Das Internet funktioniert.,The internet works.
Software,software,Die Software ist neu.,The software is new.
Hardware,hardware,Die Hardware ist teuer.,The hardware is expensive.
Fahrrad,bicycle,Das Fahrrad ist alt.,The bicycle is old.
Motorrad,motorcycle,Das Motorrad ist laut.,The motorcycle is loud.
Tankstelle,gas station,Die Tankstelle ist nah.,The gas station is near.
Café,café,Das Café ist klein.,The café is small.
Hotel,hotel,Das Hotel ist teuer.,The hotel is expensive.
Balkon,balcony,Der Balkon ist groß.,The balcony is big.
Garten,garden,Der Garten ist schön.,The garden is beautiful.
Taxi,taxi,Das Taxi ist hier.,The taxi is here.
Weg,way / path,Der Weg ist lang.,The way is long.
Tunnel,tunnel,Der Tunnel ist dunkel.,The tunnel is dark.
Fahrer,driver,Der Fahrer ist müde.,The driver is tired.
Passagier,passenger,Der Passagier wartet.,The passenger is waiting.
Dorf,village,Das Dorf ist klein.,The village is small.
Nachbar,neighbor,Mein Nachbar ist nett.,My neighbor is nice.
Vater,father,Mein Vater liest.,My father is reading.
Mutter,mother,Meine Mutter kocht.,My mother is cooking.
Sohn,son,Mein Sohn spielt.,My son is playing.
Tochter,daughter,Meine Tochter singt.,My daughter is singing.
Ärztin,doctor ,Die Ärztin ist freundlich.,The doctor is friendly.
Krankenschwester,nurse,Die Krankenschwester hilft.,The nurse helps.
Apotheke,pharmacy,Die Apotheke ist offen.,The pharmacy is open.
Medikament,medicine,Das Medikament ist wichtig.,The medicine is important.
Krankheit,illness,Die Krankheit ist schlimm.,The illness is serious.
Polizei,police,Die Polizei kommt.,The police are coming.
Feuerwehr,fire brigade,Die Feuerwehr ist schnell.,The fire brigade is fast.
Unfall,accident,Der Unfall ist schlimm.,The accident is serious.
Gesetz,law,Das Gesetz ist klar.,The law is clear.
Gericht,court,Das Gericht ist groß.,The court is big.
Richter,judge,Der Richter spricht.,The judge speaks.
Anwalt,lawyer,Der Anwalt hilft.,The lawyer helps.
Unterricht,lesson/class,Der Unterricht beginnt.,The class begins.
Prüfung,exam/test,Die Prüfung ist schwer.,The exam is difficult.
Note,grade,Die Note ist gut.,The grade is good.
Bildschirm,screen,Der Bildschirm ist hell.,The screen is bright.
Tastatur,keyboard,Die Tastatur ist schwarz.,The keyboard is black.
Maus,mouse,Die Maus ist klein.,The mouse is small.
Drucker,printer,Der Drucker funktioniert.,The printer works.
Heft,notebook,Das Heft ist neu.,The notebook is new.
Bleistift,pencil,Der Bleistift ist spitz.,The pencil is sharp.
Papier,paper,Das Papier ist weiß.,The paper is white.
Umschlag,envelope,Der Umschlag ist leer.,The envelope is empty.
Karte,card / map,Die Karte ist klein.,The card is small.
Hemd,shirt,Das Hemd ist blau.,The shirt is blue.
Hose,pants,Die Hose ist schwarz.,The pants are black.
Schuh,shoe,Der Schuh ist neu.,The shoe is new.
Hut,hat,Der Hut ist schwarz.,The hat is black.
Tal,valley,Das Tal ist grün.,The valley is green.
Gras,grass,Das Gras ist nass.,The grass is wet.
Tier,animal,Das Tier ist groß.,The animal is big.
Vogel,bird,Der Vogel fliegt.,The bird is flying.
Fisch,fish,Der Fisch schwimmt.,The fish is swimming.
Pferd,horse,Das Pferd läuft.,The horse is running.
Kuh,cow,Die Kuh gibt Milch.,The cow gives milk.
Schwein,pig,Das Schwein schläft.,The pig is sleeping.
Huhn,chicken,Das Huhn legt Eier.,The chicken lays eggs.
Ei,egg,Das Ei ist frisch.,The egg is fresh.
Laden,shop/store,Der Laden ist offen.,The shop is open.
Kaufhaus,department store,Das Kaufhaus ist groß.,The department store is big.
Bar,bar,Die Bar ist voll.,The bar is full.
Ticket,ticket,Das Ticket ist teuer.,The ticket is expensive.
Mantel / coat,coat,Der Mantel ist warm.,The coat is warm.
Schal / scarf,scarf,Der Schal ist rot.,The scarf is red.
Handschuhe ,gloves,Die Handschuhe sind warm.,The gloves are warm.
Frühling ,spring,Der Frühling ist schön.,Spring is beautiful.
Sommer ,summer,Der Sommer ist heiß.,Summer is hot.
Herbst ,autumn,Der Herbst ist bunt.,Autumn is colorful.
Winter,winter,Der Winter ist kalt.,Winter is cold.
Rot ,red,Das Auto ist rot.,The car is red.
Blau ,blue,Das Hemd ist blau.,The shirt is blue.
Grün ,green,Das Gras ist grün.,The grass is green.
Gelb ,yellow,Die Blume ist gelb.,The flower is yellow.
Schwarz ,black,Die Hose ist schwarz.,The pants are black.
Weiß ,white,Die Wand ist weiß.,The wall is white.
Braun ,brown,Das Pferd ist braun.,The horse is brown.
Pink,pink,Das Kleid ist pink.,The dress is pink.
Orange,orange,Die Jacke ist orange.,The jacket is orange.
Lila / Purple,purple,Das Tuch ist lila.,The scarf is purple.
Grau / gray,gray,Das Auto ist grau.,The car is gray.
Beige,beige,Der Mantel ist beige.,The coat is beige.
Türkis ,turquoise,Das Tuch ist türkis.,The scarf is turquoise.
Gold,gold,Die Uhr ist aus Gold.,The watch is made of gold.
Silber ,silver,Der Ring ist aus Silber.,The ring is made of silver.
Essen ,food,Das Essen ist lecker.,The food is tasty.
Getränk ,drink,Das Getränk ist kalt.,The drink is cold.
Frühstück ,breakfast,Ich esse Frühstück.,I eat breakfast.
Mittagessen,lunch,Ich esse Mittagessen.,I eat lunch.
Abendessen,dinner,Ich esse Abendessen.,I eat dinner.
Brot / bread,bread,Das Brot ist frisch.,The bread is fresh.
Fleisch / meat,meat,Das Fleisch ist rot.,The meat is red.
Apfel / apple,apple,Der Apfel ist süß.,The apple is sweet.
Milch / milk,milk,Ich trinke Milch.,I drink milk.
Kaffee / coffee,coffee,Ich trinke Kaffee.,I drink coffee.
Tee / tea,tea,Ich trinke Tee.,I drink tea.
Saft / juice,juice,Der Saft ist frisch.,The juice is fresh.
Reis / rice,rice,Der Reis ist gekocht.,The rice is cooked.
Nudeln ,noodles,Die Nudeln sind lecker.,The noodles are tasty.
Salat / salad,salad,Der Salat ist frisch.,The salad is fresh.
Großvater ,grandfather,Mein Großvater ist alt.,My grandfather is old.
Großmutter ,grandmother,Meine Großmutter ist nett.,My grandmother is nice.
Kinder ,children,Die Kinder spielen.,The children are playing.
Ehefrau ,wife,Meine Ehefrau kocht.,My wife is cooking.
Partner,partner,Mein Partner ist nett.,My partner is nice.
Freund ,boyfriend,Mein Freund ist hier.,My boyfriend is here.
Freundin ,girlfriend,Meine Freundin ist schön.,My girlfriend is beautiful.
Ehe / marriage,marriage,Die Ehe ist glücklich.,The marriage is happy.
Scheidung ,divorce,Die Scheidung ist schwierig.,The divorce is difficult.
Onkel / uncle,uncle,Mein Onkel wohnt hier.,My uncle lives here.
Tante / aunt,aunt,Meine Tante kommt.,My aunt is coming.
Neffe / nephew,nephew,Mein Neffe spielt draußen.,My nephew plays outside.
Nichte / niece,niece,Meine Nichte lacht.,My niece laughs.
sonnig / sunny,sunny,Heute ist es sonnig.,Today it is sunny.
regnerisch,rainy,Es ist regnerisch.,It is rainy.
bewölkt ,cloudy,Der Himmel ist bewölkt.,The sky is cloudy.
verschneit ,snowy,Es ist verschneit.,It is snowy.
windig / windy,windy,Heute ist es windig.,Today it is windy.
neblig / foggy,foggy,Es ist neblig draußen.,It is foggy outside.
links / left,left,Gehe nach links.,Go left.
rechts / right,right,Gehe nach rechts.,Go right.
geradeaus ,straight,Gehe geradeaus.,Go straight.
hinter ,behind,Das Auto ist hinter dem Haus.,The car is behind the house.
Norden ,north,Der Norden ist kalt.,The north is cold.
Süden ,south,Der Süden ist warm.,The south is warm.
Osten ,east,Der Osten ist schön.,The east is beautiful.
Westen ,west,Der Westen ist ruhig.,The west is calm.
Kopf / head,head,Mein Kopf tut weh.,My head hurts.
Auge / eye,eye,Mein Auge ist rot.,My eye is red.
Ohr / ear,ear,Mein Ohr tut weh.,My ear hurts.
Nase / nose,nose,Meine Nase ist klein.,My nose is small.
Mund / mouth,mouth,Mein Mund ist trocken.,My mouth is dry.
Hand / hand,hand,Meine Hand ist kalt.,My hand is cold.
Arm / arm,arm,Mein Arm ist lang.,My arm is long.
Bein / leg,leg,Mein Bein ist müde.,My leg is tired.
Fuß / foot,foot,Mein Fuß tut weh.,My foot hurts.
Finger / finger,finger,Mein Finger ist verletzt.,My finger is injured.
Gutschein,voucher / coupon,Ich habe einen Gutschein bekommen.,I received a voucher.
Vergiftung,poisoning,Die Vergiftung ist gefährlich.,The poisoning is dangerous.
Verbrennung,burn,Die Verbrennung tut weh.,The burn hurts.
Waschraum,washroom,Der Waschraum ist sauber.,The washroom is clean.
Angebot,offer / deal,Das Angebot ist günstig.,The offer is cheap.
schlecht,bad,Das ist schlecht.,That is bad.
neu,new,Das Auto ist neu.,The car is new.
alt,old,Das Buch ist alt.,The book is old.
schön,beautiful,Die Blume ist schön.,The flower is beautiful.
hässlich,ugly,Das Bild ist hässlich.,The picture is ugly.
glücklich,happy,Ich bin glücklich.,I am happy.
traurig,sad,Er ist traurig.,He is sad.
schnell,fast,Das Auto ist schnell.,The car is fast.
langsam,slow,Die Schnecke ist langsam.,The snail is slow.
warm,warm,Es ist warm heute.,It is warm today.
kalt,cold,Das Wasser ist kalt.,The water is cold.
leise,quiet,Sei bitte leise.,Please be quiet.
laut,loud,Die Musik ist laut.,The music is loud.
jung,young,Das Kind ist jung.,The child is young.
reich,rich,Er ist reich.,He is rich.
arm,poor,Sie ist arm.,She is poor.
billig,cheap,Das T-Shirt ist billig.,The T-shirt is cheap.
teuer,expensive,Das Handy ist teuer.,The phone is expensive.
kurz,short,Der Weg ist kurz.,The way is short.
lang,long,Der Film ist lang.,The movie is long.
breit,wide,Die Straße ist breit.,The street is wide.
eng,narrow,Die Gasse ist eng.,The alley is narrow.
hoch,high/tall,Der Turm ist hoch.,The tower is tall.
tief,deep,Das Wasser ist tief.,The water is deep.
hell,bright,Das Zimmer ist hell.,The room is bright.
dunkel,dark,Der Keller ist dunkel.,The basement is dark.
nass,wet,Mein Haar ist nass.,My hair is wet.
trocken,dry,Das Handtuch ist trocken.,The towel is dry.
sauber,clean,Die Küche ist sauber.,The kitchen is clean.
schmutzig,dirty,Die Schuhe sind schmutzig.,The shoes are dirty.
leer,empty,Die Flasche ist leer.,The bottle is empty.
voll,full,Der Korb ist voll.,The basket is full.
offen,open,Die Tür ist offen.,The door is open.
geschlossen,closed,Das Geschäft ist geschlossen.,The store is closed.
leicht,easy/light,Die Tasche ist leicht.,The bag is light.
wichtig,important,Das ist wichtig.,That is important.
interessant,interesting,Das Buch ist interessant.,The book is interesting.
langweilig,boring,Der Film ist langweilig.,The movie is boring.
richtig,correct/right,Das ist richtig.,That is correct.
falsch,wrong/false,Das ist falsch.,That is wrong.
wahr,true,Die Geschichte ist wahr.,The story is true.
echt,real/genuine,Ist das echt?,Is that real?
gesund,healthy,Obst ist gesund.,Fruit is healthy.
wach,awake,Ich bin wach.,I am awake.
durstig,thirsty,Ich bin durstig.,I am thirsty.
satt,full (eaten),Ich bin satt.,I am full.
dick,fat/thick,Die Katze ist dick.,The cat is fat.
dünn,thin/skinny,Sie ist dünn.,She is thin.
stark,strong,Er ist stark.,He is strong.
schwach,weak,Ich bin schwach.,I am weak.
klein,small,Ein kleiner Hund.,A small dog.
freundlich,friendly,Sie ist freundlich.,She is friendly.
nett,nice,Er ist nett.,He is nice.
gemein,mean,Das war gemein.,That was mean.
lecker,delicious,Der Kuchen ist lecker.,The cake is delicious.
eklig,disgusting,Dieses Essen ist eklig.,This food is disgusting.
beschäftigt,busy,Sie ist jetzt beschäftigt.,She is busy now.
frei,free / available,Das Zimmer ist frei.,The room is free.
unwichtig,unimportant,Das ist unwichtig.,That is unimportant.
bereit,ready,Ich bin bereit.,I am ready.
fertig,finished / done,Die Arbeit ist fertig.,The work is finished.
ruhig,calm,Er ist ruhig.,He is calm.
nervös,nervous,Sie ist nervös.,She is nervous.
klug,clever / smart,Der Junge ist klug.,The boy is clever.
dumm,stupid / dumb,Das war eine dumme Idee.,That was a stupid idea.
weich,soft,Das Kissen ist weich.,The pillow is soft.
hart,hard,Der Tisch ist hart.,The table is hard.
sicher,safe / certain,Der Ort ist sicher.,The place is safe.
gefährlich,dangerous,Diese Straße ist gefährlich.,That road is dangerous.
schwer,heavy / difficult,Die Kiste ist schwer.,The box is heavy.
spät,late,Ich bin spät.,I am late.
früh,early,Ich stehe früh auf.,I wake up early.
heiß,hot,Der Kaffee ist heiß.,The coffee is hot.
kühl,cool / chilly,Das Zimmer ist kühl.,The room is cool.
lustig,funny / amusing,Der Film ist lustig.,The movie is funny.
ernst,serious,Er sieht ernst aus.,He looks serious.
froh,happy,Sie ist heute froh.,She is happy today.
höflich,polite,Sie ist höflich.,She is polite.
unhöflich,impolite / rude,Der Kunde war unhöflich.,The customer was rude.
kreativ,creative,Sie ist kreativ.,She is creative.
faul,lazy,Er ist heute faul.,He is lazy today.
fleißig,hardworking ,Sie ist fleißig.,She is hardworking.
zuverlässig,reliable,Er ist zuverlässig.,He is reliable.
lustlos,unmotivated ,Ich fühle mich lustlos.,I feel unmotivated.
witzig,funny / witty,Der Film ist witzig.,The movie is funny.
modern,modern,Dieses Gebäude ist modern.,This building is modern.
mild,mild,Die Suppe ist mild.,The soup is mild.
hier,here,Komm hierher!,Come here!
dort,there,Das Buch liegt dort.,The book is there.
3,later,Wir sehen uns später.,We will see each other later.
heute,today,Heute ist Montag.,Today is Monday.
morgen,tomorrow,Morgen gehe ich einkaufen.,Tomorrow I will go shopping.
gestern,yesterday,Gestern war es kalt.,Yesterday it was cold.
oft,often,Ich gehe oft spazieren.,I go for walks often.
immer,always,Ich bin immer müde.,I am always tired.
nie,never,Ich trinke nie Kaffee.,I never drink coffee.
sehr,very,Das Buch ist sehr gut.,The book is very good.
nicht,not,Ich verstehe das nicht.,I do not understand that.
gut,good,Das Essen schmeckt gut.,The food tastes good.
bald,soon,Ich komme bald.,I will come soon.
schon,already,Ich habe das schon gesehen.,I have already seen that.
noch,still/yet,Ich bin noch hier.,I am still here.
erst,only/just,Ich bin erst angekommen.,I have just arrived.
wieder,again,Ich komme wieder.,I will come again.
weg,away,Er ist weg.,He is away.
dabei,with it / present,Ich bin dabei.,I am joining in.
drinnen,inside,Es ist warm drinnen.,It is warm inside.
draußen,outside,Wir spielen draußen.,We are playing outside.
oben,above / up,Das Buch liegt oben.,The book is upstairs.
unten,below / down,Die Katze ist unten.,The cat is downstairs.
links,left,Gehe nach links.,Go to the left.
rechts,right,Biege rechts ab.,Turn right.
